scorer,,,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_836.png,231.1980071372481,177.87326473426918,376.344256733299,264.8358884146618,254.34633142627348,220.41613099518068,288.1303722805267,209.7804144299528,280.6228076462482,193.51402438901604,345.68836780999516,223.54428292613005,328.79634738286853,191.63713323044644,355.0728236028433,211.65730558852243,,,320.45663811476953,14.893385740044113,521.1764848979204,320.4764858105464,419.5298958218376,40.62669943019167,405.37657329225647,75.36667291189089,451.69653793452204,69.57667733160768,431.10988698240396,256.1432015851775,477.4298516246696,240.05988052883527,416.3132316105691,253.56987021616277,334.6099606443507,288.309843697862
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_844.png,308.1989441009093,185.54184807387915,527.9886105876761,330.17028146154445,321.86462284620046,236.78814336872117,345.21015736940626,225.96948102869897,359.4452393957513,207.74857603497736,387.91540344844134,283.47921241513285,430.0512462464225,256.7172582056042,424.35721343588455,301.1307141278006,518.8781580908153,315.36579615414564,186.02669899401496,74.96777252863441,338.93629643718253,253.99715885889117,207.79318973325587,91.29264058306512,230.64800500945887,104.3525350266097,236.0896276942691,95.64593873091331,227.92719366705376,190.3301734466114,240.4429258421173,183.2560639563581,246.42871079540856,199.0367697423078,320.43477930882773,228.42153224028306
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_964.png,201.7621151158733,178.39211660956587,352.8154895326395,269.0241412596256,326.0716134063924,240.29923727217496,312.20441837796795,217.02215990303395,311.7091614126671,201.173937013406,243.36370020114663,236.83243851506887,240.3921584093414,210.08856238882174,221.07713676260738,233.86089672326364,337.9577805736133,251.69014747409503,331.7989537825172,66.2513042130706,467.0431554197083,243.56142809861885,441.7131377217728,84.7964957419162,418.6447287468673,87.96274795415813,413.66918955620145,78.91631306203833,425.42955491595717,172.99923594008433,409.5982938547475,167.57137500481247,408.6936503655355,185.66424478905208,351.70111054518077,237.228923674135
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_983.png,135.29339866102958,190.66081239352434,322.3757306151757,317.00916991617953,155.8995685574283,218.3164614650068,194.4005702059627,225.36594064009057,202.53458463875165,199.8793620840185,255.13454463745364,272.54322435026654,254.05000937974845,227.53501115550097,282.7901937089361,270.91642146370873,283.3324613377887,243.26077239222627,337.0169483198485,78.95368188418267,459.02716481168295,242.71850579766715,429.390178513475,98.7400516141966,401.390405280719,109.07842942321423,400.9596395386766,93.57086270968782,415.3198620379717,186.53101948271177,400.9472759815394,172.5177480776903,407.05562505552314,198.02908832785764,367.17169874892346,231.4453509090627
labeled-data,0023,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_1006.png,483.6172619824136,14.380694085172891,636.6416220652989,328.852773521561,638.0455152770685,91.59482073250032,628.9202094005661,48.07413116764306,633.8338356417596,36.14103886760154,600.8423451651743,158.98169489744063,576.9761605650913,137.221350115012,579.7839469886305,173.02062701513654,518.0126456707685,310.6021617685563,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_159.png,420.16617487133055,19.204864133147225,638.3146114875219,231.47724858459262,634.6420788845556,92.65551619247088,631.7040528021828,60.33722928636848,628.7660267198098,50.78864451865641,592.040700690148,99.26607487781001,565.5984659487915,102.20410096018296,574.4125441959102,129.3808422221327,442.9358770097209,213.11458556976166,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_169.png,181.42431361169298,193.40435008948458,342.79224449939784,273.5609693539654,325.3898205801355,253.52181453784522,302.1865886877858,220.82635141680697,299.54985779092783,233.48265972172499,232.04954683136506,216.6075819818343,229.94016211387873,242.9748909504135,206.736930221529,234.53735208046817,,,121.83419534270394,204.47861985628782,351.2297833693432,302.56500921940255,,,,,,,145.03742723505366,246.138968026643,185.11573686729406,228.20919792800913,185.64308304666565,259.3226225109326,338.0461288850535,285.68993147951187
labeled-data,0023,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_451.png,72.1093446014502,51.8352462182479,357.8929672951331,356.1418814939287,129.00145467472967,69.03518647296029,161.4167266932261,92.18895220045776,156.7859735477266,115.34271792795515,129.00145467472964,268.8191078930812,154.8013650567983,243.68073367465536,168.032088329654,274.7729333658662,334.7392015676356,350.18805602114367,279.7800731889958,191.00853225911314,468.82945426928524,300.402275243775,,,,,395.54626722130786,236.14672717996876,434.84304868181744,252.60889238639845,391.8290041101786,263.2296441324821,298.89742633194646,289.25048591038717,,
labeled-data,0023,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_511.png,352.31833860784326,196.41354544532317,524.2771724560298,290.040727217112,487.1971004672025,236.7381237331728,463.09505367446474,226.5411039362453,495.54011666468864,215.88058323945745,451.9710320778166,250.1796498291227,491.8321094658059,246.93514353010033,449.19002667865453,242.3001345314969,372.2488773018379,260.84017052591054,63.30983397939825,220.10063073272244,326.44260919108984,355.9110953581117,,,96.41972235722523,232.30380646560104,127.93778354772842,223.49728936825454,127.47428264786808,269.3838784544283,164.55435463669536,249.91684066029399,181.24038703166764,283.7524063500989,307.7761326935407,347.25202963096564
labeled-data,0023,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_521.png,105.27405431340071,208.20885302535547,483.7396726738133,347.9830870789169,131.07852829251976,314.2939127172893,149.7150928329946,266.26891947837333,153.2990475523167,241.18123644311868,226.4117238264873,293.5069753452212,256.5169434687929,261.9681738151868,290.2061178304205,313.5771217734249,460.08557152628754,320.7450312120691,259.06159682984674,204.35551110794688,427.2506008177861,291.56462428687837,,,384.26966239287486,215.67546618778943,407.3949545136544,224.98981020831906,351.7212795824615,231.99768537448318,377.4168218583967,248.34939409553283,339.65216124073436,255.74659565981722,278.52791673585824,270.15167239026573
labeled-data,0023,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_546.png,120.13319330028014,202.5529099632541,222.27741769467607,301.8399532557089,172.99104368619132,292.5541146744002,148.70500431969157,246.83921704334185,190.1341302978382,244.696331216886,150.84789014614745,225.41035877878326,184.4197680939559,227.55324460523914,,,,,91.25941097551329,222.74818085488909,414.37024651782536,354.8133239535325,381.0334142793329,288.78075240421083,350.9020466791569,247.7508050337585,378.4690425686796,258.0082918763716,265.6366872999357,262.4959423700148,297.69133368310156,309.93681901710033,239.35187726573966,313.7833765830802,116.26203515438267,295.8327746085073
labeled-data,0023,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_723.png,97.29465430124291,200.55335567651042,394.7671616595013,355.8708595184328,113.11386007606025,276.7331990454478,123.49305323663597,234.6058856289934,142.41981723533286,219.95290704935707,157.0727958149692,284.05968833526595,199.2001092314236,265.74346511072054,201.03173155387813,298.71266691490223,370.15152599384726,340.8399803313567,264.8405984201469,217.5644683814203,556.9726746797309,322.51809760969184,,,501.4876350240204,246.97822434348367,523.5479519955679,259.01112450978235,435.3066841093778,255.00015778768275,457.3670010809253,301.12627509182767,403.8874447862646,296.4468139160448,284.22693757696135,289.093374925529
labeled-data,0023,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_788.png,424.31994328602184,89.18817190219683,556.2859051923632,286.43516815582416,528.9099875628563,109.54462347285586,498.72628350981006,122.17966237878217,512.0632690216212,131.3049682552845,478.369831939151,205.71130847907278,493.11071066273166,223.25997362619268,477.6678853332662,230.2794396850406,446.7822346743352,270.9923428263587,171.5471081299914,198.5830804690516,357.1873157930025,297.22358685104757,333.9057055910407,278.8433682705514,306.3353777202965,243.92095296760874,329.00431396957504,235.3435176300439,246.9060043100256,248.2096706363912,256.09611360027367,220.63934276564697,228.52578572952945,255.56175806858965,185.6386090417051,248.82234458907442
labeled-data,0023,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_935.png,232.20182944562868,188.16762327343713,390.8843831905788,322.9558928637422,258.54680941100645,223.0900385763798,279.37772380223544,205.93516790125005,316.13816096322773,218.80132090759736,311.23676934176206,242.08293110955915,357.7999897456857,245.14630087297516,,,,,380.46891664630164,201.03377657193013,524.4472955268548,284.357434136846,479.1094230282976,267.20256346171624,465.6305960692671,232.89282211145678,494.42627184537776,231.6674742060904,457.0531607317023,231.05480025340717,489.5248802239121,221.2520170104759,452.7644430629198,243.92095325975447,397.62378732143134,263.526519745617
labeled-data,0023,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_944.png,230.11294220512912,73.80669618904517,326.28419441968964,285.3834510610784,273.77176111712646,84.3829313952492,258.49248579795665,93.29584199809825,278.228216418551,95.84238788462658,256.5825763830604,163.32585387762663,289.0510364362963,170.96549153721156,268.04203287243774,200.25076923228704,245.75975636531513,279.8303281862966,132.48919590845412,208.98583889646858,404.21164001840026,347.58252179818584,,,303.1695023061467,240.17196402431537,330.0820661322316,225.63434246546072,312.3200519763725,277.6920822458051,370.4346935701463,282.8706146650523,330.4578912496937,310.1383990294581,157.7785301495387,324.1466480739233
labeled-data,0023,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_1041.png,386.6852797048042,192.15881126591597,571.2342630223029,318.9256847907154,542.3432081259533,313.0295511383992,529.3717140908576,301.8268971989983,549.4185685087328,291.2138566248291,500.4806591945079,244.63440077153064,525.8340338994678,223.40831962319214,493.99491217696004,215.74334587518098,405.55290739221624,251.12014778907854,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_1174.png,410.85942767930084,142.0416774704243,636.6813465630134,304.18535290912126,615.4552654146748,168.57427890584745,577.7200100398509,173.88079919293207,594.818797631568,203.36146745451336,541.7535947607216,233.43174908132625,545.8808883173431,259.37473715151776,521.1171269776148,249.35130994258014,426.77898854055474,232.252522350863,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_1211.png,275.5539822372132,149.70910467368483,510.02240985223017,256.95806998654746,295.52447922650487,165.2417134431339,296.26412726314527,184.47256239578513,313.27603210587523,166.72100951641477,354.6963221577394,239.94616514381752,367.27033878062673,201.48446723851507,393.1580200630419,234.76862888733453,489.312264826298,222.19461226444716,154.25170422818235,88.31831763252896,418.30605330881656,195.5672829453916,181.61868158387833,175.59678595609995,198.63058642660826,150.44875271032527,214.16319519605733,171.15889773625736,264.4592616876067,128.99895964775274,278.5125743837749,157.10558504008915,297.74342333642613,129.73860768439317,396.85626024624406,124.56107142791014
labeled-data,0023,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_1286.png,325.11040069212214,114.94564695158452,458.2470472873999,177.81573006602125,349.51878590125636,169.6796016629765,361.3531544875033,140.83332823399965,370.9685789638289,163.76241736985304,410.16992490577184,128.2593116111123,422.00429349201875,162.28312129657218,441.9747904813104,148.22980860040397,,,389.45977987983974,118.64388713478668,525.5550186216792,323.5263932841863,447.89197477443383,148.22980860040397,466.38317569044466,157.10558504008915,481.1761364232533,148.22980860040397,468.6021198003659,223.67390833772802,502.62592948582585,220.7153161911663,484.134728569815,256.95806998654746,421.2646454553783,309.4730805880181
labeled-data,0023,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_215.png,345.82054571805423,225.1532044110089,535.9100911346452,336.1004099070737,521.1171304018366,318.3488570277033,499.6673373392641,294.68011985520945,493.0105050095002,319.82815310098414,433.0990140416252,280.6268071590413,426.44218171186134,313.9109688078607,397.59590828288447,288.762935562086,358.39456234094155,252.5201817667049,284.42975867689836,89.79761370580982,457.5073992507595,299.11800807505205,361.3531544875033,273.23032679263696,322.1518085455604,254.73912587662616,343.6016016081329,244.38405336366012,308.83814388603264,179.2950261393021,346.56019375469464,194.82763490875118,345.0808976814138,159.32452915001045,430.14042189506347,119.38353517142711
labeled-data,0023,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_238.png,407.95096950971714,80.18219346178424,633.5436206850488,250.30124188908357,609.874883512555,106.80952278083979,569.1942414973313,106.06987474419935,581.0286100835783,138.61438835637836,532.9514877019501,168.93995785863606,547.0048003981183,194.08799110441078,524.075711262265,191.86904699448945,432.35935471885136,244.38405759596012,177.18079336403576,154.88664516246786,362.09280252414374,293.94047605086905,186.79621784036135,180.77432644488294,197.89093838996786,185.951862701366,214.90284323269776,167.46066178535517,237.09228433191078,234.0289850829941,258.5420773944833,212.57919202042154,274.07468616393237,243.64440955931968,348.03948982797556,281.3664594279817
labeled-data,0023,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_324.png,362.09279123801036,128.9989638800527,621.709252098802,273.23033102493696,585.4664983034208,150.44875694262527,545.5255043248375,163.02277356551258,566.97529738741,192.60869503112986,507.063806419535,208.8809518372194,518.1585269691416,242.90476152267928,487.0933094302434,235.50828115627496,383.5425843005829,248.82194581580274,46.26309370021262,60.21169082942586,251.14559984961227,241.4254598063317,69.93183087270643,80.92183585535798,63.27499854294255,102.37162891793051,88.42303178871725,79.44253978207712,127.62437773066014,171.15889632549064,151.29311490315396,150.44875129955858,161.64818741612,178.55537669189502,231.91475089696104,219.9756667437592
labeled-data,0023,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_479.png,362.09279123801036,205.18271165401723,529.9928955553884,321.307453406565,381.3236401906616,217.75672827690454,382.80293626394246,234.02898508299404,405.7320253997958,218.496376313545,408.69061754635754,291.7215319409477,438.2765390119748,266.57349869517304,444.93337134173873,305.0351966004755,502.6259181996925,260.6563144020496,69.93182875655643,105.33022670755882,276.2936309792369,248.082297779162,87.68338163592679,137.87474031973784,128.36402365115055,160.06418141895077,125.40543150458882,122.3421315502887,164.60677744653174,200.00517539753406,174.22220192285735,180.77432644488277,189.75481069230645,210.36024791050042,264.4592623929901,207.40165576393875
labeled-data,0023,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_492.png,193.8021451954438,100.5114226131714,338.26960494821975,232.0221595181647,265.7119570006372,111.52463703378659,236.5593305931264,115.41165388812136,257.93792329196765,131.60755744784962,219.71559089100901,174.3647428455322,256.64225100718943,169.18205370641914,245.62903658657422,204.16520539543217,318.8345206765458,200.9260246834865,462.00629825934845,243.0353719308497,638.2177289891918,357.7023691337256,624.6131699990201,356.4066968489474,602.5867411577897,334.38026800771695,630.4436952805222,324.66272587188,532.6204377797636,324.66272587188,557.8860473329396,300.6927886034822,535.8596184917093,293.56659103720176,476.90652953429844,257.2877670634105
labeled-data,0023,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_732.png,440.6277055605072,103.7506013171868,544.281488342768,269.596653768804,460.0627898321811,121.89001330408243,471.0760042527963,131.6075554399194,488.56758009730277,118.65083259213678,489.86325238208104,174.36474083760194,515.7766980776462,154.28182042353893,513.1853535080897,193.79982510927584,467.8368235408507,267.6531453416366,517.0723703624245,160.76018184743023,637.5698928468025,346.0413185707213,529.381257067818,314.9451837360431,557.8860473329396,330.4932511533822,548.8163413394918,296.1579356067583,607.7694302969027,298.1014440339257,602.5867411577897,255.9920947786323,614.8956278631831,235.26133822218014,568.8992617535548,174.36474083760194
labeled-data,0023,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_802.png,158.81899350643084,233.96566547403333,375.19626506440017,349.9283349616876,182.78893077482863,252.75291360331812,179.549750062883,268.9488171630464,194.44998133783295,249.51373289137246,214.53290175189596,305.87547727922674,238.50283902029375,282.5533761532181,248.22038115613068,317.53652784223107,357.70468921989357,324.0148892661224,208.05454032800466,149.09913082105737,309.764814683098,327.90190612045717,257.93792329196765,317.53652784223107,269.598973854972,292.91875443144414,288.38622198425674,303.93196885205936,254.69874258002199,221.6567787686399,293.56891112336973,236.55701004358988,282.55569670275463,193.15198850351817,225.54611617251115,171.7733958046769
labeled-data,0023,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_833.png,205.46319575844814,142.62076939716607,331.14340738193926,257.9356027424311,228.78529688445678,237.85268232836813,237.20716673551547,244.97887989464854,232.6723137387916,219.7132703414725,296.1602556929263,239.79619075553552,285.14704127231107,201.57385835457686,313.0039953950436,205.46087520891163,246.92470887135244,153.63398381778129,344.1001203445269,115.41165203464732,577.3211316046136,261.82262021459064,566.3079171839984,244.97888051247327,531.9726016373745,243.03537208530588,542.3379799156005,218.41759867451893,482.0892186734115,219.7132709592972,493.7502692364158,187.3214638398407,458.1192814050137,187.96929998222984,355.7611709075312,126.42486645526253
labeled-data,0023,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_889.png,160.1146657912091,151.04264171952352,340.86094951777625,288.383903906019,179.549750062883,169.82988984880828,177.6062416357156,187.9693018357039,200.92834276172425,169.82988984880828,232.67231373879162,252.10507993222774,245.62903658657422,223.60028966710604,277.3730075636416,250.16157150506035,309.11697854070894,176.9560874150887,185.38027534438515,101.15925875556053,342.80445794494364,209.34789453454516,221.0112631757873,192.50415483242782,206.1110319008373,163.9993645673061,222.30693546056554,171.12556213358653,219.0677547486199,126.42486830873656,241.09418358985027,149.09913329235613,265.0641208582481,132.90322973262786,309.11697854070894,134.84673815979525
